station,system,train_mse,train_rmse,val_mse,val_rmse,test_mse,test_rmse,best_alpha,best_sigma,best_k
Helsinki Kaisaniemi,Baseline,56.1245,7.4916,58.6397,7.6577,61.2043,7.8233,50.0,-,-
Turku Artukainen,Baseline,52.6864,7.2585,56.3369,7.5058,57.3087,7.5703,50.0,-,-
Oulu Vihreäsaari,Baseline,21.6936,4.6576,25.9623,5.0953,21.9763,4.6879,50.0,-,-
Tampere Härmälä,Baseline,38.1325,6.1752,42.0212,6.4824,40.6008,6.3719,50.0,-,-
Jyväskylä Airport,Baseline,25.3054,5.0304,31.1295,5.5794,27.0328,5.1993,50.0,-,-
Kuopio Maaninka,Baseline,25.0991,5.0099,33.0691,5.7506,25.8969,5.0889,50.0,-,-
Rovaniemi Apukka,Baseline,15.9712,3.9964,19.8227,4.4523,14.9455,3.8659,50.0,-,-
Sodankylä,Baseline,13.4965,3.6738,16.2483,4.0309,15.1228,3.8888,50.0,-,-
Inari Saariselkä,Baseline,9.9034,3.147,11.9092,3.451,10.3307,3.2141,50.0,-,-
Hanko Tulliniemi,Baseline,59.05,7.6844,59.2783,7.6992,63.0363,7.9395,50.0,-,-
Kajaani Airport,Baseline,18.5915,4.3118,26.934,5.1898,18.0117,4.244,50.0,-,-
Kittilä Airport,Baseline,13.8,3.7148,14.6946,3.8334,11.9724,3.4601,50.0,-,-
Muonio Oustajärvi,Baseline,14.9009,3.8602,16.8567,4.1057,11.9438,3.456,50.0,-,-
Pelkosenniemi Pyhätunturi,Baseline,6.1596,2.4819,8.1248,2.8504,6.206,2.4912,50.0,-,-
Raahe Nahkiainen,Baseline,24.1482,4.9141,25.9666,5.0957,25.7037,5.0699,50.0,-,-
Helsinki Kaisaniemi,System A,56.1341,7.4923,58.6361,7.6574,60.9126,7.8047,100.0,50.0,-
Turku Artukainen,System A,52.6961,7.2592,55.98,7.482,57.2726,7.5679,100.0,50.0,-
Oulu Vihreäsaari,System A,21.7329,4.6619,25.8397,5.0833,21.9308,4.683,100.0,50.0,-
Tampere Härmälä,System A,38.1329,6.1752,42.0134,6.4818,40.6757,6.3777,100.0,50.0,-
Jyväskylä Airport,System A,25.3094,5.0308,31.109,5.5775,27.0479,5.2008,100.0,50.0,-
Kuopio Maaninka,System A,25.1021,5.0102,33.1475,5.7574,25.8292,5.0822,100.0,50.0,-
Rovaniemi Apukka,System A,15.9861,3.9983,19.7599,4.4452,15.0776,3.883,100.0,50.0,-
Sodankylä,System A,13.5102,3.6756,16.2336,4.0291,15.0555,3.8801,100.0,50.0,-
Inari Saariselkä,System A,9.9111,3.1482,11.9488,3.4567,10.3407,3.2157,100.0,50.0,-
Hanko Tulliniemi,System A,59.0836,7.6866,59.3871,7.7063,62.7186,7.9195,100.0,50.0,-
Kajaani Airport,System A,18.5956,4.3123,26.8046,5.1773,18.0571,4.2494,100.0,50.0,-
Kittilä Airport,System A,13.8391,3.7201,14.7677,3.8429,12.1033,3.479,100.0,50.0,-
Muonio Oustajärvi,System A,14.909,3.8612,16.8277,4.1022,11.8863,3.4477,100.0,50.0,-
Pelkosenniemi Pyhätunturi,System A,6.1762,2.4852,8.1288,2.8511,6.2889,2.5078,100.0,50.0,-
Raahe Nahkiainen,System A,24.1685,4.9161,26.0316,5.1021,25.852,5.0845,100.0,50.0,-
Helsinki Kaisaniemi,System B,56.134,7.4923,58.6355,7.6574,60.9144,7.8048,100.0,50.0,-
Turku Artukainen,System B,52.696,7.2592,55.9821,7.4821,57.2731,7.5679,100.0,50.0,-
Oulu Vihreäsaari,System B,21.7325,4.6618,25.8374,5.083,21.932,4.6832,100.0,50.0,-
Tampere Härmälä,System B,38.1329,6.1752,42.0135,6.4818,40.6748,6.3777,100.0,50.0,-
Jyväskylä Airport,System B,25.3094,5.0308,31.1091,5.5776,27.0477,5.2007,100.0,50.0,-
Kuopio Maaninka,System B,25.1021,5.0102,33.148,5.7574,25.8288,5.0822,100.0,50.0,-
Rovaniemi Apukka,System B,15.9855,3.9982,19.7607,4.4453,15.075,3.8827,100.0,50.0,-
Sodankylä,System B,13.5098,3.6756,16.2328,4.029,15.0534,3.8799,100.0,50.0,-
Inari Saariselkä,System B,9.9112,3.1482,11.9495,3.4568,10.3404,3.2156,100.0,50.0,-
Hanko Tulliniemi,System B,59.0832,7.6866,59.3871,7.7063,62.7205,7.9196,100.0,50.0,-
Kajaani Airport,System B,18.5956,4.3123,26.8061,5.1775,18.0564,4.2493,100.0,50.0,-
