station,system,train_mse,train_rmse,val_mse,val_rmse,test_mse,test_rmse,best_alpha,best_sigma,best_k
Helsinki Kaisaniemi,Baseline,58.4567,7.6457,58.5754,7.6535,55.2616,7.4338,100.0,-,-
Turku Artukainen,Baseline,55.7635,7.4675,56.902,7.5433,53.8868,7.3408,100.0,-,-
Oulu Vihreäsaari,Baseline,24.0723,4.9063,26.8497,5.1817,19.5003,4.4159,100.0,-,-
Tampere Härmälä,Baseline,41.3481,6.4302,42.5465,6.5228,38.9545,6.2414,100.0,-,-
Jyväskylä Airport,Baseline,27.9763,5.2893,29.6335,5.4437,25.006,5.0006,100.0,-,-
Kuopio Maaninka,Baseline,28.1729,5.3078,29.5589,5.4368,23.7529,4.8737,100.0,-,-
Rovaniemi Apukka,Baseline,16.8407,4.1037,17.7489,4.2129,17.1462,4.1408,100.0,-,-
Sodankylä,Baseline,13.5115,3.6758,16.8729,4.1077,14.0704,3.751,100.0,-,-
Inari Saariselkä,Baseline,9.4959,3.0815,12.1469,3.4852,9.5759,3.0945,100.0,-,-
Hanko Tulliniemi,Baseline,61.7165,7.856,63.3963,7.9622,58.5094,7.6491,100.0,-,-
Kajaani Airport,Baseline,20.6996,4.5497,23.3359,4.8307,17.1681,4.1434,100.0,-,-
Kittilä Airport,Baseline,13.3561,3.6546,18.3993,4.2894,14.0436,3.7475,100.0,-,-
Muonio Oustajärvi,Baseline,13.6942,3.7006,20.1463,4.4885,13.4971,3.6738,100.0,-,-
Pelkosenniemi Pyhätunturi,Baseline,6.4879,2.5471,7.0556,2.6562,6.3998,2.5298,100.0,-,-
Raahe Nahkiainen,Baseline,26.525,5.1502,26.8656,5.1832,23.1995,4.8166,100.0,-,-
Helsinki Kaisaniemi,System A,58.4961,7.6483,59.506,7.714,55.46,7.4471,50.0,50.0,-
Turku Artukainen,System A,55.7751,7.4683,56.9951,7.5495,53.6007,7.3212,50.0,50.0,-
Oulu Vihreäsaari,System A,24.2089,4.9203,26.2763,5.126,19.7847,4.448,50.0,50.0,-
Tampere Härmälä,System A,41.3507,6.4305,42.3828,6.5102,38.9146,6.2382,50.0,50.0,-
Jyväskylä Airport,System A,27.9771,5.2893,29.673,5.4473,24.9717,4.9972,50.0,50.0,-
Kuopio Maaninka,System A,28.1755,5.3081,29.6011,5.4407,23.7295,4.8713,50.0,50.0,-
Rovaniemi Apukka,System A,16.9671,4.1191,17.6696,4.2035,16.9585,4.1181,50.0,50.0,-
Sodankylä,System A,13.5259,3.6778,16.8624,4.1064,14.0437,3.7475,50.0,50.0,-
Inari Saariselkä,System A,9.5063,3.0832,12.1093,3.4798,9.4744,3.078,50.0,50.0,-
Hanko Tulliniemi,System A,61.7725,7.8595,62.5822,7.9109,58.9357,7.677,50.0,50.0,-
Kajaani Airport,System A,20.7037,4.5501,23.3393,4.8311,17.2107,4.1486,50.0,50.0,-
Kittilä Airport,System A,13.3732,3.6569,18.1603,4.2615,13.9142,3.7302,50.0,50.0,-
Muonio Oustajärvi,System A,13.7537,3.7086,19.6383,4.4315,13.3291,3.6509,50.0,50.0,-
Pelkosenniemi Pyhätunturi,System A,6.5554,2.5603,7.1878,2.681,6.1162,2.4731,50.0,50.0,-
Raahe Nahkiainen,System A,26.5689,5.1545,27.1058,5.2063,22.9413,4.7897,50.0,50.0,-
Helsinki Kaisaniemi,System B,58.4957,7.6482,59.5018,7.7137,55.4577,7.447,50.0,50.0,-
Turku Artukainen,System B,55.7749,7.4683,56.9951,7.5495,53.6021,7.3213,50.0,50.0,-
Oulu Vihreäsaari,System B,24.2076,4.9201,26.2783,5.1262,19.7829,4.4478,50.0,50.0,-
Tampere Härmälä,System B,41.3507,6.4304,42.3838,6.5103,38.9151,6.2382,50.0,50.0,-
Jyväskylä Airport,System B,27.9771,5.2893,29.6729,5.4473,24.9718,4.9972,50.0,50.0,-
Kuopio Maaninka,System B,28.1755,5.3081,29.601,5.4407,23.7295,4.8713,50.0,50.0,-
Rovaniemi Apukka,System B,16.9649,4.1188,17.6707,4.2037,16.9576,4.118,50.0,50.0,-
Sodankylä,System B,13.5255,3.6777,16.8623,4.1064,14.0432,3.7474,50.0,50.0,-
Inari Saariselkä,System B,9.5064,3.0832,12.1089,3.4798,9.4745,3.0781,50.0,50.0,-
Hanko Tulliniemi,System B,61.772,7.8595,62.5874,7.9112,58.9323,7.6767,50.0,50.0,-
Kajaani Airport,System B,20.7036,4.5501,23.3388,4.831,17.2103,4.1485,50.0,50.0,-
Kittilä Airport,System B,13.373,3.6569,18.1592,4.2614,13.9144,3.7302,50.0,50.0,-
Muonio Oustajärvi,System B,13.754,3.7086,19.6374,4.4314,13.3288,3.6509,50.0,50.0,-
Pelkosenniemi Pyhätunturi,System B,6.554,2.5601,7.1847,2.6804,6.1189,2.4736,50.0,50.0,-
Raahe Nahkiainen,System B,26.5692,5.1545,27.1037,5.2061,22.9417,4.7898,50.0,50.0,-
Helsinki Kaisaniemi,System C,58.4961,7.6483,59.5061,7.714,55.46,7.4471,50.0,50.0,5
Turku Artukainen,System C,55.7751,7.4683,56.9952,7.5495,53.6007,7.3212,50.0,50.0,5
Oulu Vihreäsaari,System C,24.2091,4.9203,26.276,5.126,19.7848,4.448,50.0,50.0,5
Tampere Härmälä,System C,41.3507,6.4305,42.3829,6.5102,38.9147,6.2382,50.0,50.0,5
Jyväskylä Airport,System C,27.9771,5.2893,29.6732,5.4473,24.9716,4.9972,50.0,50.0,5
Kuopio Maaninka,System C,28.1755,5.3081,29.6014,5.4407,23.7293,4.8713,50.0,50.0,5
