station,system,train_mse,train_rmse,val_mse,val_rmse,test_mse,test_rmse,best_alpha,best_sigma,best_k
Helsinki Kaisaniemi,Baseline,28.9868,5.3839,15.6737,3.959,16.8892,4.1096,0.5,-,-
Turku Artukainen,Baseline,29.7533,5.4547,11.6447,3.4124,15.1999,3.8987,0.5,-,-
Oulu Vihreäsaari,Baseline,10.2125,3.1957,3.2388,1.7997,4.8814,2.2094,0.5,-,-
Tampere Härmälä,Baseline,20.7114,4.551,5.8209,2.4127,9.198,3.0328,0.5,-,-
Jyväskylä Airport,Baseline,13.8614,3.7231,3.6253,1.904,6.6104,2.5711,0.5,-,-
Kuopio Maaninka,Baseline,12.9534,3.5991,3.684,1.9194,6.8242,2.6123,0.5,-,-
Rovaniemi Apukka,Baseline,15.7185,3.9647,6.0376,2.4572,11.9843,3.4618,0.5,-,-
Sodankylä,Baseline,13.8597,3.7229,6.7419,2.5965,12.1194,3.4813,0.5,-,-
Inari Saariselkä,Baseline,13.6822,3.6989,10.9507,3.3092,13.4602,3.6688,0.5,-,-
Hanko Tulliniemi,Baseline,25.7096,5.0705,16.0618,4.0077,14.1911,3.7671,0.5,-,-
Kajaani Airport,Baseline,11.0165,3.3191,3.9268,1.9816,5.7906,2.4064,0.5,-,-
Kittilä Airport,Baseline,14.641,3.8264,6.914,2.6294,17.6627,4.2027,0.5,-,-
Muonio Oustajärvi,Baseline,18.771,4.3325,7.622,2.7608,20.456,4.5228,0.5,-,-
Pelkosenniemi Pyhätunturi,Baseline,6.9664,2.6394,8.7801,2.9631,7.6645,2.7685,0.5,-,-
Raahe Nahkiainen,Baseline,7.339,2.7091,2.7245,1.6506,3.3208,1.8223,0.5,-,-
Helsinki Kaisaniemi,System A,29.1491,5.399,14.5452,3.8138,15.4174,3.9265,50.0,200.0,-
Turku Artukainen,System A,29.8163,5.4604,12.2973,3.5067,15.542,3.9423,50.0,200.0,-
Oulu Vihreäsaari,System A,10.885,3.2992,2.7623,1.662,5.1244,2.2637,50.0,200.0,-
Tampere Härmälä,System A,20.7497,4.5552,6.9626,2.6387,9.8254,3.1345,50.0,200.0,-
Jyväskylä Airport,System A,13.8969,3.7279,3.6054,1.8988,6.8034,2.6083,50.0,200.0,-
Kuopio Maaninka,System A,12.993,3.6046,3.7553,1.9379,6.596,2.5683,50.0,200.0,-
Rovaniemi Apukka,System A,16.7227,4.0893,4.9604,2.2272,12.1435,3.4847,50.0,200.0,-
Sodankylä,System A,14.109,3.7562,6.2367,2.4973,12.3947,3.5206,50.0,200.0,-
Inari Saariselkä,System A,13.717,3.7037,11.7276,3.4246,13.7471,3.7077,50.0,200.0,-
Hanko Tulliniemi,System A,25.9108,5.0903,13.1082,3.6205,14.4692,3.8038,50.0,200.0,-
Kajaani Airport,System A,11.2585,3.3554,3.7233,1.9296,5.7005,2.3876,50.0,200.0,-
Kittilä Airport,System A,14.7701,3.8432,6.7657,2.6011,18.2069,4.267,50.0,200.0,-
Muonio Oustajärvi,System A,18.9866,4.3574,8.5208,2.919,21.5191,4.6389,50.0,200.0,-
Pelkosenniemi Pyhätunturi,System A,7.3843,2.7174,9.6363,3.1042,7.5172,2.7418,50.0,200.0,-
Raahe Nahkiainen,System A,7.4266,2.7252,2.7935,1.6714,3.4376,1.8541,50.0,200.0,-
Helsinki Kaisaniemi,System B,29.1496,5.399,14.5456,3.8139,15.419,3.9267,50.0,200.0,-
Turku Artukainen,System B,29.8162,5.4604,12.2864,3.5052,15.5348,3.9414,50.0,200.0,-
Oulu Vihreäsaari,System B,10.8811,3.2987,2.7646,1.6627,5.1233,2.2635,50.0,200.0,-
Tampere Härmälä,System B,20.749,4.5551,6.948,2.6359,9.8208,3.1338,50.0,200.0,-
Jyväskylä Airport,System B,13.8961,3.7277,3.6047,1.8986,6.8016,2.608,50.0,200.0,-
Kuopio Maaninka,System B,12.9921,3.6045,3.7546,1.9377,6.5977,2.5686,50.0,200.0,-
Rovaniemi Apukka,System B,16.7148,4.0884,4.9651,2.2282,12.1343,3.4834,50.0,200.0,-
Sodankylä,System B,14.1061,3.7558,6.2392,2.4978,12.3855,3.5193,50.0,200.0,-
Inari Saariselkä,System B,13.7171,3.7037,11.7194,3.4234,13.7385,3.7066,50.0,200.0,-
Hanko Tulliniemi,System B,25.9092,5.0901,13.1398,3.6249,14.4664,3.8035,50.0,200.0,-
Kajaani Airport,System B,11.2553,3.3549,3.7221,1.9293,5.7005,2.3876,50.0,200.0,-
Kittilä Airport,System B,14.7677,3.8429,6.7648,2.6009,18.1877,4.2647,50.0,200.0,-
Muonio Oustajärvi,System B,18.9819,4.3568,8.5089,2.917,21.4549,4.6319,50.0,200.0,-
Pelkosenniemi Pyhätunturi,System B,7.3739,2.7155,9.6198,3.1016,7.5728,2.7519,50.0,200.0,-
Raahe Nahkiainen,System B,7.4243,2.7248,2.8013,1.6737,3.4312,1.8524,50.0,200.0,-
Helsinki Kaisaniemi,System C,29.1642,5.4004,14.2645,3.7768,15.4743,3.9337,50.0,200.0,4
Turku Artukainen,System C,29.8215,5.4609,12.1117,3.4802,15.5668,3.9455,50.0,200.0,4
Oulu Vihreäsaari,System C,10.9183,3.3043,2.7518,1.6588,5.1425,2.2677,50.0,200.0,4
Tampere Härmälä,System C,20.7493,4.5551,6.9395,2.6343,9.7739,3.1263,50.0,200.0,4
Jyväskylä Airport,System C,13.94,3.7336,3.7998,1.9493,6.7501,2.5981,50.0,200.0,4
Kuopio Maaninka,System C,13.0289,3.6096,3.9053,1.9762,6.4468,2.5391,50.0,200.0,4
Rovaniemi Apukka,System C,16.798,4.0985,5.0667,2.2509,12.453,3.5289,50.0,200.0,4
Sodankylä,System C,14.1234,3.7581,6.229,2.4958,12.412,3.5231,50.0,200.0,4
Inari Saariselkä,System C,13.7115,3.7029,11.6527,3.4136,13.7037,3.7019,50.0,200.0,4
Hanko Tulliniemi,System C,25.9401,5.0931,12.8267,3.5814,14.5126,3.8095,50.0,200.0,4
Kajaani Airport,System C,11.2819,3.3589,3.7205,1.9289,5.7135,2.3903,50.0,200.0,4
Kittilä Airport,System C,14.7864,3.8453,6.7512,2.5983,18.2559,4.2727,50.0,200.0,4
Muonio Oustajärvi,System C,18.9497,4.3531,8.3237,2.8851,21.3285,4.6183,50.0,200.0,4
Pelkosenniemi Pyhätunturi,System C,7.3808,2.7168,9.6283,3.103,7.5659,2.7506,50.0,200.0,4
Raahe Nahkiainen,System C,7.5116,2.7407,2.6565,1.6299,3.6185,1.9022,50.0,200.0,4
Helsinki Kaisaniemi,System D,29.1471,5.3988,14.7517,3.8408,15.468,3.9329,50.0,100.0,-
Turku Artukainen,System D,29.8189,5.4607,12.5473,3.5422,15.5489,3.9432,50.0,100.0,-
Oulu Vihreäsaari,System D,10.8962,3.3009,2.8289,1.6819,5.1233,2.2635,50.0,100.0,-
Tampere Härmälä,System D,20.7404,4.5542,6.739,2.596,9.8214,3.1339,50.0,100.0,-
Jyväskylä Airport,System D,13.8936,3.7274,3.5916,1.8951,6.8279,2.613,50.0,100.0,-
Kuopio Maaninka,System D,12.9923,3.6045,3.7519,1.937,6.5897,2.567,50.0,100.0,-
Rovaniemi Apukka,System D,16.7391,4.0913,4.9266,2.2196,12.1607,3.4872,50.0,100.0,-
Sodankylä,System D,14.1271,3.7586,6.2045,2.4909,12.5373,3.5408,50.0,100.0,-
Inari Saariselkä,System D,13.716,3.7035,11.7314,3.4251,13.7955,3.7142,50.0,100.0,-
Hanko Tulliniemi,System D,25.9031,5.0895,13.1147,3.6214,14.4767,3.8048,50.0,100.0,-
Kajaani Airport,System D,11.2583,3.3553,3.7078,1.9256,5.7114,2.3898,50.0,100.0,-
Kittilä Airport,System D,14.7702,3.8432,6.7505,2.5982,18.1082,4.2554,50.0,100.0,-
Muonio Oustajärvi,System D,18.9501,4.3532,8.4848,2.9129,21.3174,4.6171,50.0,100.0,-
Pelkosenniemi Pyhätunturi,System D,7.4058,2.7214,9.8251,3.1345,7.5174,2.7418,50.0,100.0,-
Raahe Nahkiainen,System D,7.4389,2.7274,2.719,1.6489,3.4639,1.8612,50.0,100.0,-
