station,system,mean_actual_hdd,mean_predicted_hdd,hdd_mae
Helsinki Kaisaniemi,Baseline,6.238,12.789,6.551
Helsinki Kaisaniemi,System A,6.238,12.721,6.483
Helsinki Kaisaniemi,System B,6.238,12.721,6.483
Turku Artukainen,Baseline,6.519,13.047,6.529
Turku Artukainen,System A,6.519,13.029,6.514
Turku Artukainen,System B,6.519,13.029,6.514
Oulu Vihreäsaari,Baseline,8.425,11.55,3.256
Oulu Vihreäsaari,System A,8.425,11.59,3.292
Oulu Vihreäsaari,System B,8.425,11.59,3.292
Tampere Härmälä,Baseline,7.675,13.058,5.497
Tampere Härmälä,System A,7.675,13.012,5.448
Tampere Härmälä,System B,7.675,13.012,5.448
Jyväskylä Airport,Baseline,8.743,12.843,4.299
Jyväskylä Airport,System A,8.743,12.845,4.306
Jyväskylä Airport,System B,8.743,12.845,4.306
Kuopio Maaninka,Baseline,8.607,12.285,3.809
Kuopio Maaninka,System A,8.607,12.282,3.807
Kuopio Maaninka,System B,8.607,12.282,3.807
Rovaniemi Apukka,Baseline,11.121,12.711,2.85
Rovaniemi Apukka,System A,11.121,12.689,2.85
Rovaniemi Apukka,System B,11.121,12.689,2.85
Sodankylä,Baseline,11.487,12.583,2.861
Sodankylä,System A,11.487,12.601,2.873
Sodankylä,System B,11.487,12.601,2.873
Inari Saariselkä,Baseline,12.334,12.394,2.267
Inari Saariselkä,System A,12.334,12.366,2.243
Inari Saariselkä,System B,12.334,12.366,2.243
